item_id,shop_id,shop_name,name,currency,stock,ctime,historical_sold,liked_count,cat_id,brand,price,price_min,price_max,price_min_before_discount,price_max_before_discount,raw_discount,rating_total,rating_1_star,rating_2_star,rating_3_star,rating_4_star,rating_5_star,rating_star,shop_location
20718514343,277366270,4MEN OFFICIAL,"Quần Tây Nam Slimfit Lưng Thun 4MEN QT037 trẻ trung, thanh lịch, form dáng đứng đẹp, vải polytester mềm, co giãn tốt",VND,1,2022-07-02,0,5,100011,,425000,425000,425000,-1,-1,0,0,0,0,0,0,0,0.0,TP. Hồ Chí Minh
23066220525,277366270,4MEN OFFICIAL,"Áo Vest Nam Caro Slimfit Cổ Nhọn 4MEN AV038 tôn dáng, sang trọng thanh lịch, vải mềm bóng đẹp, co giãn, dày dặn, công sở",VND,6,2023-04-26,0,0,100011,,1250000,1250000,1250000,-1,-1,0,0,0,0,0,0,0,0.0,TP. Hồ Chí Minh
5691035807,277366270,4MEN OFFICIAL,"Áo Polo Nam 4MEN PO038 hình thêu, phối sọc ngang, form regular suông, vải cotton mềm mịn, thấm mồ hôi, thoáng mát",VND,3,2021-06-05,53,14,100011,,315000,315000,315000,-1,-1,0,14,2,0,0,0,12,4.428571428571429,TP. Hồ Chí Minh
22582174080,277366270,4MEN OFFICIAL,"Áo thun nam sọc ngang thêu ngực 4MEN AT103 kiểu dáng ngắn tay vải cotton thấm mồ hôi, thoáng mát, mềm mại, form suông",VND,1,2023-10-03,0,0,100011,,315000,315000,315000,-1,-1,0,0,0,0,0,0,0,0.0,TP. Hồ Chí Minh
19570148312,277366270,4MEN OFFICIAL,"Áo Sơ Mi Nam Regular Phối Màu 4MEN SM129 cổ bẻ dài tay, vải Poly, viscose,spandex mềm mịn, form đẹp, trẻ trung",VND,1,2022-12-30,0,0,100011,,395000,395000,395000,-1,-1,0,0,0,0,0,0,0,0.0,TP. Hồ Chí Minh
9499034421,277366270,4MEN OFFICIAL,"Áo Thun nam 4MEN Puzzle AT066 cổ tròn tay ngắn, form regular vải cotton thoáng mát, trẻ trung dễ phối đồ nhiều màu",VND,2,2022-04-10,18,3,100011,,295000,295000,295000,-1,-1,0,6,0,0,0,0,6,5.0,TP. Hồ Chí Minh
21817929123,277366270,4MEN OFFICIAL,"Áo PoLo Nam Regular Stripes 4MEN PO070 form dáng đẹp, thanh lịch, sang trọng, vải cotton chất lượng",VND,3,2022-07-01,27,11,100011,,315000,315000,315000,-1,-1,0,13,0,0,0,1,12,4.923076923076923,TP. Hồ Chí Minh
23866931331,277366270,4MEN OFFICIAL,"Áo Thun Nam In Surfing Form Regular 4MEN AT129 cổ tròn, phối đường may nổi bắt mắt, vải mềm mại, thấm mồ hôi, co giãn",VND,10,2023-05-04,3,1,100011,,245000,245000,245000,-1,-1,0,1,0,0,0,0,1,5.0,TP. Hồ Chí Minh
17465117997,277366270,4MEN OFFICIAL,"Á Sơ Mi Nam Tay Ngắn Loose In Loose Summer Escape 4MEN ASM094 mặc đi biển, du lịch, chất liệu cotton thoáng mát",VND,1,2022-05-11,7,3,100011,,395000,395000,395000,-1,-1,0,4,0,0,0,0,4,5.0,TP. Hồ Chí Minh
17194545271,277366270,4MEN OFFICIAL,"Quần Tây Nam Thời Trang 4MEN QT42 trơn dáng đứng ôm vừa vặn, vải mềm co giãn, khóa nút và kéo tiện dụng, trẻ trung",VND,2,2023-05-04,4,0,100011,,325000,325000,325000,-1,-1,0,2,0,0,0,0,2,5.0,TP. Hồ Chí Minh
